Top Q S-full,Top Q R-full,Mid Q S-full,Mid Q R-full,Corr-full,Gini-full,Churn-full,Top Q S-null-ref,Mid Q S-null-ref,Corr-null-ref,Gini-null-ref,Churn-null-ref,Top Q S-null-thre,Mid Q S-null-thre,Corr-null-thre,Gini-null-thre,Churn-null-thre
34,0,6,0,0.67097704643396,0.9333333333333330,,31,9,0.6517596969926040,0.9333333333333330,,34,6,0.67097704643396,0.9333333333333330,
0,4,0,9,0.5101153140404180,0.8822916666666670,35,31,9,0.7106372735740440,0.9262916666666670,13,0,0,0.67097704643396,0.9333333333333330,0
31,0,9,0,0.6376964326479050,0.88975,34,33,7,0.7362002591521630,0.9235833333333330,12,31,9,0.7050319136338440,0.9310833333333330,40
1,6,0,8,0.6087498022540770,0.8504791666666670,35,33,7,0.7474921710087730,0.9223541666666670,10,1,0,0.7078289660487190,0.9299583333333330,0
2,4,0,6,0.5875769996452640,0.8124166666666670,37,32,8,0.7586271786464590,0.92075,14,2,0,0.709717151015279,0.9303830227743270,2
35,0,5,0,0.6548034956815630,0.8256527777777780,34,30,10,0.7625378617075620,0.9201527777777780,12,35,5,0.7221360344977670,0.9295107794361530,38
2,8,0,12,0.6603777669036720,0.8016190476190480,28,31,9,0.7617533474526860,0.9204761904761900,9,2,0,0.7243982528084590,0.9289280774550490,0
15,5,0,5,0.6679101309007130,0.7951458333333330,31,29,11,0.7656952188144380,0.9194583333333330,13,15,0,0.7274657544309320,0.9294855967078190,13
36,0,4,0,0.696733393413055,0.805787037037037,21,33,7,0.7640768246048200,0.9201666666666670,12,36,4,0.7332842529372740,0.9290518256772670,25
11,5,0,4,0.6965347800489210,0.7875583333333330,28,33,7,0.7635460593102870,0.9204583333333330,9,11,0,0.7345414816631950,0.9287254901960780,0
30,0,10,0,0.7172418233190840,0.7950909090909090,27,33,7,0.7660018324361430,0.9200757575757580,8,30,10,0.7422411645734220,0.9273232323232320,29
6,4,0,13,0.7252261303918400,0.7704097222222220,30,31,9,0.7665083351158010,0.9200902777777780,10,6,0,0.745136698757835,0.9261993382961130,0
5,8,0,7,0.7225182675462870,0.7528782051282050,34,33,7,0.7671394912355790,0.9201602564102560,10,5,0,0.74700627160449,0.9271352893235530,2
0,5,0,11,0.7198172829230540,0.7313511904761910,35,34,6,0.7682971364139740,0.9200714285714290,9,0,0,0.7480365160499440,0.9278663446054750,0
31,0,9,0,0.7335952016996960,0.7405833333333330,34,33,7,0.7679375149359860,0.9202166666666670,9,31,9,0.753103801858408,0.926762114537445,40
30,0,10,0,0.7434892709917110,0.74809375,13,32,8,0.7684360343853570,0.9201979166666670,12,30,10,0.7568635799984080,0.9258367071524970,13
5,6,0,9,0.7450761800972870,0.7299460784313730,28,29,11,0.7705760553355870,0.9196666666666670,13,5,0,0.7583161588019040,0.9253370786516850,0
0,7,0,10,0.742403924558805,0.7174675925925930,35,29,11,0.7726516265275850,0.9190277777777780,12,0,0,0.7591730064519580,0.9259276437847870,0
32,0,8,0,0.7486410862981950,0.7275657894736840,33,34,6,0.7724087060242560,0.9192412280701750,13,32,8,0.7599349655094790,0.9255354058721930,40
8,7,0,7,0.7479950851077460,0.7130333333333330,30,32,8,0.7731390804126410,0.9190625,9,8,0,0.7594758600067360,0.9253877221324720,1
31,0,9,0,0.7516277007086650,0.7229603174603180,28,32,8,0.773192914211787,0.919107142857143,11,31,9,0.7608207316266550,0.9249544764795150,32
6,5,0,10,0.7525898015786440,0.7092765151515150,32,30,10,0.7751663721447770,0.9184734848484850,14,6,0,0.7610868680537890,0.9247615641392470,0
24,3,0,6,0.7547705089941640,0.7093007246376810,32,34,6,0.7744218156582840,0.9187282608695650,11,24,0,0.7613513607490840,0.9252884160756500,18
1,3,0,13,0.760830077925885,0.6952013888888890,35,34,6,0.7739523263167370,0.9189340277777780,9,1,0,0.7590165483356030,0.9262071330589850,0
32,0,8,0,0.766033325788052,0.70237,35,31,9,0.7744534792802410,0.9188433333333330,10,32,8,0.7613167784446970,0.9256285218899000,39
9,7,0,11,0.7686062018499660,0.6948589743589740,27,33,7,0.7749973337944800,0.9187564102564100,8,9,0,0.7626138463662700,0.9252719406674910,0
34,0,6,0,0.7709906163459200,0.7031296296296300,28,35,5,0.7743435020131740,0.9189845679012350,10,34,6,0.7633240055330200,0.9250549666274050,32
21,1,0,5,0.7690384310797880,0.7014940476190480,18,31,9,0.774802273131362,0.9188154761904760,13,21,0,0.7634217925607660,0.9249437570303710,0
33,0,7,0,0.7710033593262380,0.7087068965517240,20,33,7,0.7737169338018490,0.9191063218390810,11,33,7,0.7635029602859500,0.9248205956225330,21
30,0,10,0,0.7727503375908220,0.7151944444444450,10,31,9,0.7738764606596070,0.9190277777777780,9,30,10,0.764447147615907,0.9244324045407640,10
2,8,0,8,0.7739431094586810,0.7051263440860210,32,30,10,0.7744886743375920,0.9188844086021500,13,2,0,0.764822858228427,0.9241972249752230,0
3,6,0,13,0.7764839834795680,0.7005390625,35,31,9,0.7749008412469080,0.9187994791666670,12,3,0,0.7652261461242290,0.9243405868776790,1
31,0,9,0,0.7785776764994110,0.706861111111111,31,32,8,0.7754291329732120,0.918661616161616,12,31,9,0.7663684415630690,0.9239470345702510,37
30,0,10,0,0.7794804297885520,0.7129656862745100,12,30,10,0.7755697194061550,0.9185710784313730,11,30,10,0.7667054542042620,0.9237045523984110,12
0,2,0,4,0.7767457274132430,0.6986166666666670,38,32,8,0.7755850511816790,0.9186380952380950,12,0,0,0.7666407680044150,0.9235470085470090,0
35,0,5,0,0.7774667998539560,0.704738425925926,39,32,8,0.7758417862192320,0.9186041666666670,8,35,5,0.7669862115672050,0.9234486194136070,40
10,7,0,6,0.7763785624594590,0.6985833333333330,27,30,10,0.7761412490794500,0.9184842342342340,9,10,0,0.7670212474576850,0.9234365538122760,0
9,3,0,6,0.7758246839491590,0.6882017543859650,33,31,9,0.776518448452559,0.9183947368421050,13,9,0,0.7666699614040380,0.9238615888615890,3
15,4,0,11,0.7760391568786070,0.6834102564102560,31,33,7,0.7762361515784580,0.918474358974359,8,15,0,0.7665691291761580,0.924279132791328,8
2,7,0,10,0.7765671595772350,0.6727958333333330,34,31,9,0.7763160201688590,0.9184520833333330,10,2,0,0.7660935356383900,0.924689424364123,0
6,6,0,7,0.7765626018309810,0.665670731707317,37,32,8,0.7764484772210900,0.91844918699187,13,6,0,0.7663286609308760,0.9248048650093560,4
29,3,3,4,0.7765423839275110,0.6700734126984130,30,32,8,0.7766591355618460,0.918434523809524,10,29,3,0.7663075658047830,0.9251010907156160,26
31,0,9,0,0.7776090939740430,0.6757926356589150,15,34,6,0.7763739679623780,0.9185426356589150,9,31,9,0.7669130150714110,0.9249020366073730,15
1,7,0,12,0.7793534498013880,0.6684280303030300,32,32,8,0.7763757772068840,0.9185151515151520,9,1,0,0.7672151769434580,0.9247599399849960,0
28,0,12,0,0.7815714220469400,0.673675925925926,35,30,10,0.7766959527710430,0.9184018518518520,12,28,12,0.7688202423681560,0.9242134013109980,39
19,3,2,5,0.7806519952483530,0.6724112318840580,24,32,8,0.7768796117543170,0.9183260869565220,10,19,2,0.770014443770109,0.9237638594008020,6
31,0,9,0,0.7823827152417150,0.6769964539007090,21,30,10,0.7772077077800350,0.9181932624113480,13,31,9,0.7710465389393060,0.9233849506767610,23
33,0,7,0,0.7826426629572720,0.6820034722222220,10,31,9,0.7776267384668030,0.9180416666666670,13,33,7,0.7710648327017260,0.9232830989060060,10
31,0,9,0,0.7829880277509160,0.6867823129251700,12,32,8,0.7775184802792840,0.9180544217687070,11,31,9,0.7712333745128560,0.923158295281583,12
32,0,8,0,0.7840849244065110,0.690965,13,31,9,0.7777812133197930,0.91798,9,32,8,0.7719032936255000,0.922938122483577,13
8,6,0,10,0.7850405607170330,0.6854607843137260,29,37,3,0.7772738669374080,0.9181503267973860,10,8,0,0.7723366272550250,0.9227660673692910,0
32,0,8,0,0.7859785027011860,0.6898766025641030,28,32,8,0.777669125569067,0.9180833333333330,11,32,8,0.7729939145271170,0.922570074611817,32
29,0,11,0,0.7870530590835290,0.6940361635220130,12,32,8,0.7776909795241610,0.9180911949685540,11,29,11,0.7738463234286980,0.9222671785784600,12
3,5,0,13,0.7884654316239830,0.6870524691358020,32,32,8,0.7778062558178540,0.9180709876543210,11,3,0,0.7744575228233840,0.9220301981150220,0
0,4,0,10,0.7890790712503090,0.6800590909090910,36,30,10,0.7779969436311220,0.9180257575757580,12,0,0,0.7746288809196420,0.9221562980030720,0
1,12,0,10,0.7897067341244410,0.6754940476190480,37,34,6,0.7774896408040180,0.9181592261904760,10,1,0,0.7746288809196420,0.9221562980030720,1
10,8,0,9,0.7896538753154600,0.6729824561403510,32,32,8,0.7775745708744780,0.9181154970760230,10,10,0,0.7747933145953540,0.922198234503934,9
34,0,6,0,0.789346150335658,0.677337643678161,25,34,6,0.7774255132422780,0.918176724137931,10,34,6,0.7745937330784020,0.9222331645094730,30
11,5,0,9,0.7885932100948970,0.6748064971751410,25,33,7,0.7772719533777560,0.9182245762711870,12,11,0,0.774280655821104,0.9222959090075220,0
1,5,0,8,0.7895101802418900,0.6677,36,32,8,0.7772478133881140,0.9182458333333330,9,1,0,0.7738756327636440,0.9226221735959150,0
0,5,0,9,0.7908406672104520,0.6595,37,34,6,0.7771105614708430,0.918327868852459,10,0,0,0.7740197335597810,0.9226635684344820,0
8,5,0,7,0.789449217639839,0.6558091397849460,36,32,8,0.7771500806962300,0.918306451612903,11,8,0,0.7740197335597810,0.9226635684344820,8
29,0,11,0,0.7899234677288180,0.6599034391534390,28,31,9,0.7773070699673060,0.9182513227513230,15,29,11,0.7743914010825860,0.9224870697342610,32
17,8,0,7,0.7889376567056130,0.6587408854166670,21,33,7,0.7772996407900230,0.9182421875,11,17,0,0.7745964765083710,0.9223389209009950,2
11,10,0,8,0.7886323070825350,0.6573256410256410,27,35,5,0.7771010140745180,0.9183051282051280,8,11,0,0.7741782595484800,0.922601246105919,3
35,0,5,0,0.7890380675727250,0.6612891414141410,23,33,7,0.7771094636952450,0.9183270202020200,11,35,5,0.774357683700889,0.9225296710749410,29
34,0,6,0,0.7894940454158370,0.6648694029850750,9,34,6,0.7769888616175160,0.9183706467661690,9,34,6,0.7746005682139340,0.9224061149883680,9
1,5,0,9,0.7897854014516230,0.657843137254902,33,33,7,0.7769219028323950,0.9183958333333330,12,1,0,0.7747154693773090,0.9223101987618120,0
2,4,0,7,0.7901727751302960,0.6514939613526570,34,31,9,0.7769047146334040,0.9184057971014490,10,2,0,0.7748422191902870,0.9223473375671720,1
30,0,10,0,0.7907140189676630,0.6552035714285710,34,33,7,0.7767472369311530,0.9184619047619050,9,30,10,0.775055927919082,0.9222176968535380,38
2,8,0,6,0.7910291576967440,0.6522065727699530,30,32,8,0.7767566582897440,0.9184377934272300,9,2,0,0.7751448733868930,0.9221258423444600,0
0,7,0,9,0.7916699262376720,0.6472789351851850,39,33,7,0.7764887365113330,0.9185173611111110,10,0,0,0.7752638789109900,0.9221958666040390,0
0,7,0,7,0.7920563734448590,0.6417625570776260,39,33,7,0.7764516411104750,0.9185057077625570,7,0,0,0.7752638789109900,0.9221958666040390,0
0,5,0,12,0.7928167599378140,0.6384313063063060,38,33,7,0.7763965232180020,0.9185281531531530,11,0,0,0.7752638789109900,0.9221958666040390,0
12,4,0,7,0.7922195270187040,0.6355544444444440,34,34,6,0.7761677501109470,0.9186088888888890,9,12,0,0.7752638789109900,0.9221958666040390,12
5,6,0,12,0.792793957957463,0.6322554824561400,32,32,8,0.7761459658044550,0.9186195175438600,12,5,0,0.7747498642975260,0.922504281488401,1
25,3,0,6,0.7925024191531540,0.6335595238095240,30,32,8,0.776324701715629,0.918577922077922,14,25,0,0.7746798087581540,0.922649891270581,20
13,2,0,7,0.7917216569793140,0.6312564102564100,28,31,9,0.7764218693090390,0.9185470085470090,14,13,0,0.7739830169106280,0.9229533241209890,2
2,6,0,15,0.7934562555697950,0.6272584388185650,35,31,9,0.7764793432266150,0.9185358649789030,11,2,0,0.7735472975003530,0.9232142857142860,0
33,0,7,0,0.7936416645617560,0.6309135416666670,34,31,9,0.7766415207249760,0.9185020833333330,12,33,7,0.7736486798167420,0.9231579736211030,38
0,10,0,7,0.7928546478642710,0.6262654320987650,32,31,9,0.7767198056005520,0.9184629629629630,14,0,0,0.7736546068583500,0.923116902237927,0
31,0,9,0,0.7934740643492050,0.6297469512195120,31,33,7,0.7766603336055840,0.9184867886178860,12,31,9,0.7742033339508060,0.9229224537037040,40
32,0,8,0,0.793882608721092,0.6331897590361450,13,31,9,0.776761901795601,0.9184748995983940,12,32,8,0.7744892765207160,0.9228085893060300,13
0,10,0,9,0.7938789656765520,0.6291418650793650,29,32,8,0.7767523634435680,0.9184880952380950,9,0,0,0.7746771074011140,0.9227167225950780,0
30,0,10,0,0.7941141446597600,0.632528431372549,30,28,12,0.7770833874423780,0.9183833333333330,10,30,10,0.7749267095158360,0.9225948844884490,40
17,3,0,7,0.793811462096769,0.6303546511627910,22,33,7,0.7770740131987340,0.9183924418604650,13,17,0,0.7750802598094930,0.9224905303030300,0
31,0,9,0,0.7939245094664960,0.6336494252873560,22,33,7,0.777101811785919,0.9183965517241380,11,31,9,0.7751802082809470,0.9224214589989350,24
1,5,0,7,0.7939960539183700,0.6290340909090910,35,33,7,0.7770417587647570,0.9184223484848490,9,1,0,0.7752021823938890,0.9223663522012580,0
32,0,8,0,0.7942194691548090,0.6320908239700380,35,30,10,0.7772897941658430,0.9183436329588020,11,32,8,0.7754854008523950,0.9222265221878230,39
31,0,9,0,0.7944949603048920,0.6352314814814820,11,32,8,0.7772301123748730,0.9183537037037040,11,31,9,0.7757236351374080,0.9221176321138210,11
32,0,8,0,0.7945477218345560,0.6382738095238100,11,34,6,0.7771689234682400,0.9183663003663000,10,32,8,0.7758037449723620,0.9220520520520520,11
0,5,0,10,0.7949100244815350,0.6343550724637680,35,30,10,0.7773093424018790,0.9183324275362320,12,0,0,0.7758166289302490,0.9220019723865880,0
0,6,0,8,0.7949871089288080,0.6306505376344090,32,32,8,0.7773521873006750,0.9183216845878140,12,0,0,0.7758166289302490,0.9220019723865880,0
