Null (reference),Null (threshold),Full,Null (reference)_ave,Null (threshold)_ave,Full_ave
10787.0,9848.0,24760.0,10.8,9.9,24.8
10972.0,10005.0,24070.0,11.0,10.0,24.1
10665.0,9893.0,25033.0,10.7,9.9,25.1
10743.0,10208.0,24918.0,10.8,10.2,24.9
11022.0,10123.0,23924.0,11.0,10.1,23.9
10256.0,10455.0,24452.0,10.3,10.5,24.5
10830.0,10044.0,24218.0,10.8,10.1,24.2
10172.0,10010.0,24059.0,10.2,10.0,24.1
10103.0,9974.0,23749.0,10.1,10.0,23.8
10461.0,10645.0,24134.0,10.5,10.7,24.2
10290.0,10084.0,24033.0,10.3,10.1,24.1
11136.0,9879.0,23881.0,11.1,9.9,23.9
10466.0,9819.0,24318.0,10.5,9.8,24.3
10261.0,10132.0,24364.0,10.3,10.1,24.4
11498.0,10221.0,24856.0,11.5,10.2,24.9
9357.0,10133.0,25093.0,9.4,10.1,25.1
9777.0,10117.0,24206.0,9.8,10.1,24.2
10487.0,10086.0,24821.0,10.5,10.1,24.8
10315.0,10101.0,24547.0,10.3,10.1,24.6
10444.0,10226.0,25615.0,10.5,10.2,25.6
9267.0,10040.0,25481.0,9.3,10.1,25.5
9954.0,10121.0,24225.0,10.0,10.1,24.2
9661.0,9955.0,24984.0,9.7,10.0,25.0
10595.0,10274.0,24371.0,10.6,10.3,24.4
11318.0,10182.0,24740.0,11.3,10.2,24.8
9793.0,10318.0,25243.0,9.8,10.3,25.3
10761.0,10090.0,24923.0,10.8,10.1,24.9
9765.0,10403.0,24282.0,9.8,10.4,24.3
11507.0,10226.0,25347.0,11.5,10.2,25.4
11506.0,10380.0,24575.0,11.5,10.4,24.6
10905.0,10324.0,24482.0,10.9,10.3,24.5
10682.0,9947.0,25000.0,10.7,10.0,25.0
10554.0,10230.0,25213.0,10.6,10.2,25.2
11057.0,10494.0,24759.0,11.1,10.5,24.8
9874.0,9964.0,24772.0,9.9,10.0,24.8
10814.0,10103.0,25397.0,10.8,10.1,25.4
10160.0,10204.0,24824.0,10.2,10.2,24.8
10730.0,9933.0,24413.0,10.7,9.9,24.4
9253.0,10517.0,24096.0,9.3,10.5,24.1
10751.0,10004.0,23781.0,10.8,10.0,23.8
10084.0,10020.0,24991.0,10.1,10.0,25.0
11723.0,10445.0,24823.0,11.7,10.5,24.8
10250.0,10234.0,23863.0,10.3,10.2,23.9
10769.0,10077.0,25327.0,10.8,10.1,25.4
11208.0,10191.0,25342.0,11.2,10.2,25.4
10221.0,10184.0,26245.0,10.2,10.2,26.3
11356.0,10338.0,24789.0,11.4,10.3,24.8
10201.0,10264.0,24334.0,10.2,10.3,24.4
10459.0,10734.0,24714.0,10.5,10.7,24.7
9966.0,10307.0,24770.0,10.0,10.3,24.8
11188.0,10047.0,25241.0,11.2,10.1,25.3
11074.0,10331.0,25395.0,11.1,10.3,25.4
